pid	x	y	bts
1	600853	97927	-1.5
2	600845	97914	-1.23
3	600844	97901	-0.39
4	600853	97889	-0.1
5	600836	97934	-1.7
6	600830	97919	-1.02
7	600826	97905	-0.1
8	600842	97888	-1.02
9	600814	97944	-3.06
10	600806	97929	-1.64
11	600802	97917	-1.37
12	600821	97892	-0.24
13	600797	97954	-3.91
14	600788	97939	-0.46
15	600779	97929	-1.64
16	600792	97904	-1.23
17	600780	97965	-0.03
18	600770	97954	-0.17
19	600762	97946	-0.39
20	600771	97918	-0.46
21	600741	97920	-0.1
22	600734	97908	0.05
23	600727	97895	-0.95
24	600718	97883	-0.67
25	600763	97899	-0.32
26	600755	97887	-0.17
27	600748	97877	-0.32
28	600740	97864	-0.03
29	600784	97888	-1.97
30	600777	97873	-0.24
31	600772	97860	-1.02
32	600766	97846	-1.02
33	600807	97877	-1.84
34	600801	97861	-0.24
35	600798	97849	-0.46
36	600795	97834	-0.67
37	600836	97869	-0.6
38	600831	97854	-0.03
39	600826	97839	-0.03
40	600822	97826	-3.12
41	600856	97860	-0.32
42	600850	97845	-0.32
43	600845	97831	-0.6
44	600842	97820	-2.49
45	600837	97802	-3.55
46	600833	97789	-4.5
47	600829	97774	-7.33
48	600818	97816	-4.32
49	600817	97806	-3.97
50	600813	97792	-5.45
51	600809	97779	-9.17
52	600790	97816	-3.18
53	600787	97798	-3.79
54	600782	97781	-5.45
55	600776	97762	-7.18
56	600760	97826	-3.55
57	600754	97804	-3.85
58	600749	97789	-4.03
59	600744	97776	-5.18
60	600738	97833	-5.67
61	600730	97813	-5.07
62	600722	97795	-5.29
63	600739	97762	-3.37
64	600714	97843	-9.35
65	600703	97815	-2.3
66	600698	97799	-2.17
67	600693	97784	-1.7
68	600708	97828	-4.56
69	600687	97770	-1.5
70	600752	97937	0.05
