pid	x	y	t
1	133	1	2.51787
2	39	2	1.80969
3	47	2	1.13111
4	9	4	1.33558
5	81	4	2.52472
6	50	8	1.83759
7	148	8	2.92934
8	76	10	2.8506
9	125	10	3.20828
10	133	10	3.04755
11	95	11	2.85332
12	48	12	2.66307
13	88	12	2.9784
14	147	14	2.68152
15	31	16	2.26618
16	84	18	2.18732
17	88	18	3.24565
18	106	18	3.06694
19	41	19	2.76702
20	46	19	3.48293
21	122	19	3.2997
22	135	20	2.69343
23	84	21	3.103
24	98	22	3.53624
25	87	26	2.32959
26	51	28	4.04633
27	12	29	2.73659
28	145	29	1.47492
29	90	30	2.9688
30	89	31	3.20332
31	30	32	2.75679
32	16	34	1.75735
33	77	34	2.45671
34	5	37	2.62556
35	115	37	2.87199
36	35	42	1.45522
37	139	42	0.885129
38	145	42	1.66298
39	47	43	2.47274
40	66	44	1.74025
41	34	45	1.67716
42	23	47	2.21691
43	18	56	2.00892
44	60	57	1.29262
45	102	58	1.8836
46	28	59	2.32933
47	28	60	2.31785
48	35	60	2.70467
49	127	60	2.18979
50	154	60	2.82337
51	38	61	3.12048
52	93	64	2.77408
53	81	66	3.42944
54	69	67	2.57852
55	118	67	2.76361
56	109	70	2.80043
57	28	71	3.08281
58	142	73	2.22186
59	78	74	2.52043
60	67	75	3.04505
61	133	75	3.66587
62	42	76	2.60876
63	117	76	3.60845
64	9	78	2.22964
65	40	78	3.07431
66	84	78	3.4521
67	156	82	3.48232
68	59	83	3.47563
69	49	84	3.01212
70	71	84	2.73316
71	144	85	3.71678
72	134	86	3.03992
73	4	88	1.69883
74	80	89	3.14942
75	122	89	2.25238
76	154	89	3.56331
77	6	90	1.94713
78	90	90	3.54681
79	147	90	3.8531
80	86	91	3.4192
81	107	93	2.30869
82	148	93	4.09365
83	43	95	2.76981
84	11	96	1.99083
85	49	97	2.68071
86	145	97	4.64847
87	152	97	3.9855
88	1	98	1.42667
89	67	98	0.891243
90	50	99	2.87133
91	152	102	4.96344
92	72	103	2.06479
93	98	103	3.38813
94	39	104	2.30951
95	22	106	3.03156
96	139	106	3.78961
97	64	108	2.03239
98	145	108	4.62583
99	4	109	2.18112
100	135	109	2.99818
